sample_name	year	period	site	specimen	color_p	color_s	type	plate	quant_reading
GBP23061002M_ITS_P96	23	p06	s10	02M	#FDE725FF	#DD513AFF	sample	P96	6390
GBP23061003M_ITS_P96	23	p06	s10	03M	#FDE725FF	#DD513AFF	sample	P96	160
GBP23061004M_ITS_P96	23	p06	s10	04M	#FDE725FF	#DD513AFF	sample	P96	52819
GBP23061005M_ITS_P96	23	p06	s10	05M	#FDE725FF	#DD513AFF	sample	P96	2532
GBP23061201M_ITS_P48	23	p06	s12	01M	#FDE725FF	#F8850FFF	sample	P48	188186
GBP23061202M_ITS_P96	23	p06	s12	02M	#FDE725FF	#F8850FFF	sample	P96	32870
GBP23061301M_ITS_P96	23	p06	s13	01M	#FDE725FF	#FCA50AFF	sample	P96	7645
GBP23061303M_ITS_P48	23	p06	s13	03M	#FDE725FF	#FCA50AFF	sample	P48	15490
GBP23061304M_ITS_P96	23	p06	s13	04M	#FDE725FF	#FCA50AFF	sample	P96	8857
GBP23061305M_ITS_P96	23	p06	s13	05M	#FDE725FF	#FCA50AFF	sample	P96	30213
GBP23061401M_ITS_P96	23	p06	s14	01M	#FDE725FF	#FAC62DFF	sample	P96	43382
GBP23061402M_ITS_P96	23	p06	s14	02M	#FDE725FF	#FAC62DFF	sample	P96	2315
GBP23061404M_ITS_P96	23	p06	s14	04M	#FDE725FF	#FAC62DFF	sample	P96	10726
GBP23061405M_ITS_P48	23	p06	s14	05M	#FDE725FF	#FAC62DFF	sample	P48	0
neg1_ITS_P96	NA	pNA	sNA	NA1	red	red	negative	P96	399
neg2_ITS_P96	NA	pNA	sNA	NA2	red	red	negative	P96	1770
neg4_ITS_P96	NA	pNA	sNA	NA3	red	red	negative	P96	359
neg6_ITS_P48	NA	pNA	sNA	NA4	red	red	negative	P48	0
neg7_ITS_P48	NA	pNA	sNA	NA5	red	red	negative	P48	3
neg9_ITS_P48	NA	pNA	sNA	NA6	red	red	negative	P48	0
negPCR_ITS_P48	NA	pNA	sNA	NA7	red	red	negative	P48	16
negPCR_ITS_P96	NA	pNA	sNA	NA8	red	red	negative	P96	5112
