	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1376	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	g__Vicia	s__pyrenaica
ASV_1377	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	g__Vicia	NA
ASV_1378	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	g__Vicia	NA
ASV_1379	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	g__Vicia	s__pyrenaica
ASV_1380	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	g__Lotus	s__tenuis
ASV_1381	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	g__Lotus	s__tenuis
ASV_1382	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Anteagloniaceae	g__Anteaglonium	NA
ASV_1383	k__Viridiplantae	p__Chlorophyta	c__Trebouxiophyceae	o__Trebouxiophyceae_ord_Incertae_sedis	f__Trebouxiophyceae_fam_Incertae_sedis	g__Parachloroidium	s__lobatum
ASV_1384	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Asterales	f__Asteraceae	g__Taraxacum	NA
ASV_1385	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	g__Vicia	s__pyrenaica
ASV_1386	k__Viridiplantae	p__Chlorophyta	c__Ulvophyceae	o__Trentepohliales	f__Trentepohliaceae	g__Trentepohlia	NA
ASV_1387	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Asterales	f__Asteraceae	NA	NA
ASV_1388	k__Viridiplantae	p__Anthophyta	c__Monocotyledonae	o__Poales	f__Poaceae	g__Arrhenatherum	s__elatius
ASV_1389	k__Viridiplantae	p__Anthophyta	c__Monocotyledonae	o__Poales	f__Poaceae	g__Holcus	s__lanatus
ASV_1390	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Asterales	f__Asteraceae	NA	NA
ASV_1391	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Asterales	f__Asteraceae	NA	NA
ASV_1392	k__Viridiplantae	p__Anthophyta	c__Monocotyledonae	o__Poales	f__Poaceae	g__Holcus	s__lanatus
ASV_1393	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Asterales	f__Asteraceae	NA	NA
ASV_1394	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Asterales	f__Asteraceae	g__Carduus	s__pycnocephalus
ASV_1395	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Asterales	f__Asteraceae	g__Cirsium	s__boujartii
ASV_1396	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Asterales	f__Asteraceae	g__Carduus	s__pycnocephalus
ASV_1397	k__Viridiplantae	p__Anthophyta	c__Eudicotyledonae	o__Fabales	f__Fabaceae	g__Lathyrus	NA
